0.0 1.15 1.0
Linear 3 explicit
 0.000000 0.26528046002919436 0.014431433047875072 0.4577547793072028
 0.010000 0.26472786099350615 0.016530843565943004 0.4563941848904307
 0.020000 0.26352766075369394 0.016928478060700733 0.456848339331698
 0.030000 0.2625978465439491 0.017953250262885412 0.4561929670617796
 0.040000 0.26102918672738185 0.01937737017789337 0.4544006966879216
 0.050000 0.25947946173907127 0.023255270765418917 0.44977251464933776
 0.060000 0.25654287015859945 0.02216000377132943 0.4495435775128567
 0.070000 0.2541598631663087 0.024411790497789077 0.44666660613419396
 0.080000 0.25302594314838267 0.029631357117923807 0.4414745304526453
 0.090000 0.2515400431315038 0.03576021742603394 0.4363463634130575
 0.100000 0.2507751516457715 0.04305826524236131 0.42755041113234116
 0.110000 0.25169423857930634 0.052131337112875736 0.41350986914465504
 0.120000 0.253973397104318 0.061627415076832864 0.39440495372814277
 0.130000 0.2563488390630874 0.07000379530446796 0.37216362174544865
 0.140000 0.25830743511101806 0.07629466370507174 0.3480798272035315
 0.150000 0.2608789476812174 0.08193855978965608 0.31993333212694813
 0.160000 0.2634842922032734 0.08590202988985388 0.2909435512354812
 0.170000 0.26550338817037594 0.08674110955803632 0.2627572917438611
 0.180000 0.2687098150556886 0.08885766920530985 0.22716335450461883
 0.190000 0.27090653690977595 0.08857120741568186 0.19337891677190944
 0.200000 0.27339865391071533 0.08754350394875968 0.1578058129871826
 0.210000 0.27584606729378264 0.08439982350805444 0.12232837277643305
 0.220000 0.2782966863803335 0.08135974058158375 0.08392036400815964
 0.230000 0.2804116976816634 0.07786924330381027 0.045245484226855065
 0.240000 0.28272578731026826 0.07372417047029946 0.005593888271803182
 0.250000 0.28503806856635966 0.06921287437900574 -0.03504361256538273
 0.260000 0.2869333500679284 0.06453314323855924 -0.07602084129719723
 0.270000 0.2889418069792396 0.05976268718014169 -0.11759559490710361
 0.280000 0.29042030672923025 0.054156656911873116 -0.15920462314767028
 0.290000 0.2921252363824912 0.04996945897850762 -0.20266814515101436
 0.300000 0.2939521971750833 0.04572196864949062 -0.2459609267047588
 0.310000 0.29511967499527697 0.04200784681965654 -0.2896514926266237
 0.320000 0.2957726476222248 0.038432449653812734 -0.33386431734713407
 0.330000 0.29672591003486837 0.03629622796296488 -0.37825603808283453
 0.340000 0.29765108060798207 0.035559150315206546 -0.42196283132074414
 0.350000 0.29854607325735194 0.03488827629071362 -0.4656455623872984
 0.360000 0.3007678070874986 0.0350929471366786 -0.5088701123293665
 0.370000 0.3026740278575596 0.03824283437673466 -0.5516373224570784
 0.380000 0.3066488198540175 0.03995883151021448 -0.593243581348966
 0.390000 0.3108307190264678 0.04409266518271092 -0.6333158790249649
 0.400000 0.31540526719726775 0.048961333454042605 -0.6712950193166181
 0.410000 0.32057189275554115 0.05388227372888445 -0.7076101023468384
 0.420000 0.32499867149432354 0.05992019026673988 -0.7415282307454236
 0.430000 0.3286350182366353 0.06508198679416043 -0.772775449387261
 0.440000 0.32999551836541696 0.07238372182682137 -0.800938552329711
