0.0 1.15 1.0
Linear 3 explicit
 0.000000 8.525893588287176E-4 1.3953767078143855 0.17650907082566195
 0.010000 -3.3678834872405417E-4 1.3934685322585838 0.16150057364227274
 0.020000 -0.0017281065961970987 1.3922482211983245 0.14643676205485492
 0.030000 -0.0029610336049788466 1.391358526466918 0.13110415272437614
 0.040000 -0.004132976402015737 1.3908242477960733 0.11586058551848562
 0.050000 -0.005281570778098016 1.39071275021627 0.10072203303008273
 0.060000 -0.006402845939757124 1.3909127292656231 0.08567334372307886
 0.070000 -0.007396426480127061 1.3911786227363288 0.07068634327905284
 0.080000 -0.008244710398808558 1.3915379722839423 0.05567170535172611
 0.090000 -0.008899462936805297 1.392066878256182 0.040693137751024455
 0.100000 -0.009457644985921748 1.3927781220631816 0.02562104851888676
 0.110000 -0.009960502879609201 1.3936161245666585 0.010706439587890242
 0.120000 -0.010392933185483344 1.3945216841198547 -0.004088257336140766
 0.130000 -0.010724230172325155 1.3956672218545787 -0.018592175522903126
 0.140000 -0.010971105007292231 1.397064926858059 -0.03303817425479223
 0.150000 -0.011112015801118091 1.3986377562814327 -0.04716004197218479
 0.160000 -0.011177188377124198 1.4004392928278708 -0.061182018834305504
 0.170000 -0.011230710645142916 1.4023749074058194 -0.07488844035663123
 0.180000 -0.011108932710653913 1.4044860056492006 -0.08799530816857334
 0.190000 -0.011119976392988618 1.4067315459410552 -0.10145920887416238
 0.200000 -0.011051346293794673 1.4089913711191313 -0.11477220502948351
 0.210000 -0.01104251854492011 1.4113133997829435 -0.12779981667117837
 0.220000 -0.010949836144352715 1.4135592795186969 -0.14091190092743364
 0.230000 -0.010885892856152102 1.4156061619119664 -0.1537885218771063
 0.240000 -0.010768168178146159 1.4174843093663199 -0.1665712784727403
 0.250000 -0.01063933992053448 1.4190831962500465 -0.17888875843825408
 0.260000 -0.010505792512949197 1.4204957830398155 -0.19154350277171578
 0.270000 -0.010289083865613141 1.421608527015077 -0.20421524105659922
 0.280000 -0.010086124604847951 1.4220628080187185 -0.21671757914206086
 0.290000 -0.009781635824806123 1.4226660471230488 -0.22964115815962108
 0.300000 -0.009501058306440296 1.423046899082037 -0.24222197960920686
 0.310000 -0.009206402327203017 1.4228756879062279 -0.2547627924483773
 0.320000 -0.008784501480090773 1.422617667048407 -0.267646400238783
 0.330000 -0.008309079441443268 1.4219786667310348 -0.28050581616583564
 0.340000 -0.007859141634417699 1.4211449321467913 -0.29303113025269517
 0.350000 -0.007299813760975132 1.4200153265338247 -0.30606510827377276
 0.360000 -0.00673912110049224 1.41882943113156 -0.3187227209891277
 0.370000 -0.006058709554272651 1.4174903691214285 -0.33143774037455787
 0.380000 -0.005261943536752051 1.4159897292237427 -0.3441532256693975
 0.390000 -0.004430683318928458 1.41446811132252 -0.3569791836907876
 0.400000 -0.003511691612592932 1.4129838621980637 -0.369864500295317
