0.0 1.15 1.0
Linear 3 explicit
 0.000000 -0.03932132359810969 1.093874604808356 0.2931680446297974
 0.010000 -0.039751319738774306 1.0918651771796317 0.27810525425251503
 0.020000 -0.04025431863390143 1.090375804030941 0.2625502889379609
 0.030000 -0.04080812028090726 1.0891439300982224 0.24653889133472212
 0.040000 -0.04128651163762394 1.0880447575481746 0.2300224072171259
 0.050000 -0.041790567448599575 1.0871501344317882 0.21299620521103108
 0.060000 -0.04224775032894971 1.0863467135703437 0.19524656964694065
 0.070000 -0.04271889436203769 1.0855362771276005 0.1773695378520764
 0.080000 -0.043169825718705854 1.0847428752479507 0.15909023397500846
 0.090000 -0.04373700152994112 1.0841270776254517 0.1408127384956536
 0.100000 -0.04422913852155601 1.0836638604968523 0.12213614113439548
 0.110000 -0.044771974460285385 1.0833141960587962 0.10342257401209481
 0.120000 -0.04551331569354908 1.083078130839999 0.08484433006049548
 0.130000 -0.04645060430583994 1.0830595039683504 0.0662514608883236
 0.140000 -0.04714718392537226 1.0832950288602163 0.04755193467272798
 0.150000 -0.04828342038174959 1.0837481524723356 0.02884870362842537
 0.160000 -0.04928742700253898 1.0844852578939184 0.01018412697072841
 0.170000 -0.05015821314275906 1.0853010588287753 -0.009152320592072756
 0.180000 -0.05282978109815291 1.0866177432835176 -0.02556921557403176
 0.190000 -0.05366826433026717 1.0878857161726978 -0.04476419663989488
 0.200000 -0.054468692782390846 1.0892902464198446 -0.06388674662663947
 0.210000 -0.05530517523155101 1.0908556431920902 -0.08292167304048359
 0.220000 -0.05627636315394236 1.0924843469012697 -0.10160367754140888
 0.230000 -0.05727801840070333 1.094034302151604 -0.12025838446195451
 0.240000 -0.05835833978932231 1.095543674351338 -0.13867314399848013
 0.250000 -0.06081132404505482 1.0969550532110566 -0.1560278558787189
 0.260000 -0.06189496369771319 1.0982239736400767 -0.17406355234719623
 0.270000 -0.06283718043170282 1.0992956782875316 -0.19196002976128415
 0.280000 -0.06383107683982686 1.099948247286821 -0.2107868566813008
 0.290000 -0.06482939439866461 1.100581796475863 -0.22731039400822947
 0.300000 -0.06551647911866845 1.1012211868337507 -0.24503272683140598
 0.310000 -0.06603206555684023 1.101488122426339 -0.26331720416335946
 0.320000 -0.06732177297982059 1.1015695162471772 -0.27971429542955933
 0.330000 -0.06812596464748724 1.1013992551642784 -0.29667644439952984
 0.340000 -0.06863719778501802 1.1012386200839182 -0.3143638993009527
 0.350000 -0.06963538540452124 1.100633793894447 -0.3305872474914133
 0.360000 -0.0706411338988171 1.1002034937872456 -0.34732266712961046
 0.370000 -0.07084084402628285 1.099642436425158 -0.36441040080410164
 0.380000 -0.07233038924935872 1.0990116390183287 -0.38025886971917844
 0.390000 -0.07291948659006842 1.0982705690911139 -0.3962286789242615
 0.400000 -0.07347874818425792 1.0976096610359551 -0.412141104684293
 0.410000 -0.073951261930743 1.0969766299873716 -0.42772448499529186
 0.420000 -0.07426913003223007 1.0963362293595882 -0.44312573143901013
 0.430000 -0.07454015140256534 1.0958148797235923 -0.4585705505291073
 0.440000 -0.07459646139269221 1.0953553215357847 -0.47320581121055894
 0.450000 -0.07461016444719612 1.094938422561908 -0.4877279597806184
 0.460000 -0.07455258046880438 1.0944791737901933 -0.5018367602918776
 0.470000 -0.07415564594571812 1.093985420691816 -0.5158538925377967
 0.480000 -0.07393274478447985 1.0936105051983114 -0.5292906925029678
 0.490000 -0.07353922422252195 1.0932150252000794 -0.5422587900796646
 0.500000 -0.07284579849979048 1.0928513257075514 -0.5552669349467846
 0.510000 -0.07221426087949466 1.092104727726547 -0.5673627529981253
 0.520000 -0.07135550643157544 1.0915934669109235 -0.5796145987283254
 0.530000 -0.0702222794412574 1.091470080548732 -0.5913771447475148
 0.540000 -0.06908251335051126 1.0916780003272675 -0.6031016946802213
 0.550000 -0.06764145377075773 1.0922221797066018 -0.6143106373808287
 0.560000 -0.06604931206029487 1.093330130178934 -0.6253409788206308
 0.570000 -0.06456191433056695 1.0946715337044408 -0.6358183358498039
 0.580000 -0.06254737661290051 1.0958076783904238 -0.6465788268779361
 0.590000 -0.06032610866618552 1.0970786749679553 -0.6571982759894724
 0.600000 -0.058186313483740766 1.0982901502260962 -0.6676010755252881
 0.610000 -0.05569603439423733 1.099533819407154 -0.67807078552725
 0.620000 -0.05340754591014972 1.1007927048870545 -0.6882989832283906
 0.630000 -0.05132975830242807 1.1020792242730988 -0.6984675300814913
 0.640000 -0.04946722930813559 1.1034796052735316 -0.7085284104983585
 0.650000 -0.047859974347941966 1.1048749120600474 -0.7182211351760757
 0.660000 -0.04659401966505876 1.1063087336944006 -0.7277380641604897
 0.670000 -0.04515578237756224 1.1073792809499987 -0.7361430175279848
 0.680000 -0.04475881990405341 1.1087355819568332 -0.7454290476515787
 0.690000 -0.043652453701111815 1.1098974828687178 -0.7542824987667859
 0.700000 -0.042134188055655254 1.1108527913206576 -0.7628675199471023
 0.710000 -0.04051448829900092 1.1117707464918585 -0.7714158029039725
 0.720000 -0.038803280064967374 1.1125227836479292 -0.7799217587254369
 0.730000 -0.03677858974163659 1.1131062786724522 -0.7883515964188466
 0.740000 -0.03519883466133106 1.113442181230442 -0.7960813815745149
 0.750000 -0.033211439911122534 1.1135515645719472 -0.8039774971457142
 0.760000 -0.03161279930640998 1.1135421670313175 -0.8114099876827672
 0.770000 -0.030396804203827118 1.1133017896129471 -0.8181688484046933
 0.780000 -0.02858339009007211 1.1129936859477276 -0.8258851165686864
 0.790000 -0.027426639729877206 1.1125241751633004 -0.8328401670691042
 0.800000 -0.026374021637700404 1.1117473095732608 -0.8394228194444581
 0.810000 -0.025342340641137197 1.1109219921263966 -0.8461673685252364
 0.820000 -0.023692943492431943 1.1100037692385616 -0.853596127517396
 0.830000 -0.021590479777613858 1.1088199325185306 -0.8612950842380627
 0.840000 -0.020874953717441094 1.107726781378648 -0.8680062649931714
 0.850000 -0.02016735731958188 1.1064765173735311 -0.8749287533399274
 0.860000 -0.019300416925503494 1.1053798372030639 -0.8821771364373672
 0.870000 -0.018804866591907977 1.1041982081668702 -0.8892244962909066
 0.880000 -0.01777420667099726 1.1030002945680124 -0.8967841029782045
 0.890000 -0.015020246233757986 1.101324972394545 -0.9071707362708161
