ModelMarker	ExperimentalMarker	Weight
LFHD	LFHD	10
RFHD	RFHD	10
LBHD	LBHD	10
RBHD	RBHD	10
C7	C7	20
T10	T10	20
CLAV	CLAV	10
STRN	STRN	20
LSHO	LSHO	10
LUPA		0
LELB	LELB	10
LFRM		0
LWRA	LWRA	1
LWRB	LWRB	1
LFIN		0
RSHO	RSHO	10
RUPA		0
RELB	RELB	10
RFRM		0
RWRA	RWRA	1
RWRB	RWRB	1
RFIN		0
LASI	LASI	1
RASI	RASI	1
LPSI	LPSI	1
RPSI	RPSI	1
LTHI		0
LKNE	LKNE	10
LTIB		0
LANK	LANK	10
LHEE	LHEE	1
LTOE	LTOE	1
RTHI		0
RKNE	RKNE	10
RTIB		0
RANK	RANK	10
RHEE	RHEE	1
RTOE	RTOE	1
RBTO	RBTO	1
LBTO	LBTO	1
RBAK		0
